X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE,Staff FT (program and maintenance),Staff PT
-75.23118655,39.97723084,124,Charles A Baker Playground,1981,PPR_REC,C,Y,N,9,Staff from Conestoga ,Programs 9/2021,1,
-75.18324594,39.93549944,127,Wharton Square,305,PPR_REC,C,Y,N,145, ,Programs 9/2021,1,
-75.15283583,39.94272067,130,Starr Garden Playground,1957,PPR_REC,C,Y,N,130, ,Programs 9/2021,1,
-75.06961996,40.02401372,144,Wissinoming Park,1973,PPR_REC,C,Y,N,146, ,Programs 9/2021,1,
-75.10499811,40.01477654,149,Joseph A Ferko Playground,1854,PPR_REC,C,Y,N,150,,Programs 9/2021,1,
-75.06283087,40.01627911,150,Victor J Moss Memorial Field,1916,PPR_REC,C,Y,N,0, ,Programs 9/2021,1,
-75.12345451,39.98380829,151,Black Coyle and McBride Playground,1820,PPR_REC,C,Y,N,0, ,Programs 9/2021,1,
-75.15557136,40.0006427,154,Heritage Park Playground,1871,PPR_REC,C,Y,N,0, ,Programs 9/2021,1,
-75.17426555,40.03970459,155,Morton Playground,1915,PPR_REC,C,N,N,0,"Building on site is an L&I Office building, it is NOT a PPR Building.",Programs 9/2021,1,
-75.19774341,39.93621729,157,Jacob Stinger Park,443,PPR_REC,C,N,N,0,Only PPR building is staff/restroom building.,Programs 9/2021,1,
-75.15044139,39.92125968,158,Reverend Edward P Burke Playground,202,PPR_REC,C,N,N,0,Only PPR building is storage shed.,Programs 9/2021,1,
-75.19081262,39.96503672,159,33rd and Wallace Playground,1801,PPR_REC,C,N,N,0, ,Programs 9/2021,1,
-75.20088332,39.96593196,160,Norman (Butch) Ellis Playground,1803,PPR_REC,C,Y,N,0, ,Programs 9/2021,1,
-75.20844808,40.00207671,161,Woodside Park,1840,PPR_REC,C,Y,N,0, ,Programs 9/2021,1,
-75.19896285,39.97348146,162,Clayborne and Lewis Playground,2896,PPR_REC,C,Y,N,0, ,Programs 9/2021,1,
-75.17967686,39.99901849,171,29th and Chalmers Playground,1990,PPR_REC,C,Y,N,0, ,Programs 9/2021,1,
-75.02720626,40.06053786,175,Frank McArdle Memorial Recreation Center,1991,PPR_REC,C,N,N,0,,Programs 9/2021,1,
-75.1516727,39.92758567,176,John Dickinson Square,960,PPR_REC,C,Y,N,, ,Programs 9/2021,1,
-75.19323367,39.93340567,177,William Lanier Park,407,PPR_REC,C,N,N,, ,Programs 9/2021,1,
-75.13722002,39.96675695,180,Tip Top Playground,279,PPR_REC,C,N,N,, ,Programs 9/2021,1,
-75.12324848,39.99434967,182,Marian Winfield Hissey Recreation Center,569,PPR_REC,C,N,N,, ,Programs 9/2021,1,
-75.09177022,40.0120004,183,Joseph Deni Recreation Center,1846,PPR_REC,C,N,N,,Building on site is for storage.,Programs 9/2021,1,
-75.13100894,39.97235062,189,Dave Dougherty (Hetzell) Field,629,PPR_REC,C,N,N,,,Programs 9/2021,1,
-75.08048221,40.01394834,190,Wilmot Park,99,PPR_REC,C,N,N,,,Programs 9/2021,1,
-75.11657994,39.98619788,191,Trenton and Auburn Playground,583,PPR_REC,C,N,N,,,Programs 9/2021,1,
-75.12826678,39.98347747,192,Hagert Street Playground,847,PPR_REC,C,N,N,,,Programs 9/2021,1,
-75.21310312,40.02163202,193,Wissahickon Neighbors Playground,2902,PPR_REC,C,N,N,,,Programs 9/2021,1,
-75.13305795,39.99160063,197,Gerald J Maguire Playground,780,PPR_REC,C,N,N,,,Programs 9/2021,1,
-75.13329804,40.00253787,198,Corporal George J Reed Jr Memorial Playground,1173,PPR_REC,C,N,N,,,Programs 9/2021,1,
